Review,Rating
Beli Online memang paling aman di official store,bintang 5
"Barang masih di segel, tepat waktu, dan packing bagus barang sampai tanpa luka",bintang 5
"mantab greget, penguriman aman,sampai tujuan selamat",bintang 5
"pertama kali beli online, aman. packing rapi",bintang 5
"Barang bagus, berfungsi dengan baik, untuk pengiriman juga tepat waktu, pokonya mantab. tapi sayang ga dpt perdana XL seperti yg dijanjiin. SELLER JUGA DICHAT PLEASE BGT... ",bintang 4
"bagus, masih disegel, original samsung debes deh, cuman minus nya gada kepala charge aja..",bintang 5
Joss original samsung,bintang 5
Mantaaab barang bagus,bintang 5
mantap,bintang 5
Pastinya ori yah. datengnya juga itungannya cepet banget cuma 2 hari padahal dari west cost ke east cost. Alhamdulillah dapet harga yabg bagus,bintang 5
MANTAP DISKON NYA GUEEDEEE,bintang 5
handphone kerennn,bintang 5
"original, segel, asli, berfungsi dengan baik, beli pas promo 11 dapat harga murah, qualitas tidak diragukan lagi samsung indonesia.",bintang 5
pasti ori lah.. paking ama.. ga perlu 40 characters,bintang 5
"sejauh ini hp nya aman dipakai, belum ada kendala, pertama kali beli hp online, kalo bisa dikasih free casing dong hehe,, untuk pengiriman cepet bgt 👍",bintang 5
"Barang segel original bukan repack, pengiriman cepet banget, packing Aman verlapis lapis",bintang 5
"Barang original, garansi resmi",bintang 5
"kenapa promo po nya diperpanjang, kemarin cuma sampai 31 oktober terus diperpanjang tanggal 5 november tapi sekarang malah sampai desember dan harga sewaktu saya beli tan... ",bintang 3
Barang ori. Masih disegel. cuma pengiriman agak lama,bintang 5
Barang mantap..samsung memang yang terbaikk..👍👍👍❤️❤️❤️,bintang 5
Barang Ok... mulus .. cuma kok esimnya gak bisa digunakan??? tolong dibantu min ..,bintang 5
"packaging aman, pengiriman cepat, barang original, rada berat, camera oke, flgaship on budget.",bintang 5
alhamdulillah istri senang,bintang 5
bonusnya mantap dan sukses selalu buat tokonya. barangnya sangat original dan garansi samsung indonesia,bintang 5
"barang datang di segel, barang super cakep, recommend banget",bintang 5
kaaang.. aku tuku hp jebul apik,bintang 5
pengiriman next day tapi sampai 5 hari,bintang 2
"barang tiba dgn selamat, tapi memang beberapa stiker seperti imei or produk dibox kelipet sm jg dgn stiker blkng hp udah kelipet..semoga aman aman aja dan awet aamiinn",bintang 5
"Barang sampai dengan aman, packaging juga rapih dan tebel. pengiriman juga cepat 1 hari langsung sampai. overall puas sm barang, experience dan pelayanannya",bintang 5
barang oke,bintang 5
sesuai deskripsi,bintang 5
"Walaupun customer servicenya agak slow respond dan kurang menjelaskan tentang detail kelengkapan barang yang diterima, tapi alhamdulillah barang sampai dengan kondisi ama... ",bintang 5
packing oke dan kualitas mantap. terima kasih ya,bintang 5
penjual  baik n garcep..  beli hp samsung uda yg ke 2 ni..,bintang 5
"Pengiriman cepat, barang original",bintang 5
"proses cepat, pengiriman cepat, semoga awet barangnya",bintang 5
"Sangat tidak nyaman dengan suhu tinggi ketika handphone dipakai. Padahal pemakaian normal seperti untu sosmed dsb. Tidak nyaman di tangan, walaupun sudah pakai case, pana... ",bintang 4
barangnya bagus dan mantaaffff,bintang 5
"hpnya bener2 bagus, masih segel dàn lengkàp, pelayanan penjual bagus dan pengirimàn juga cepat. Terima kasih",bintang 5
"keren sesuai harapan, kualitas samsung 👍",bintang 5
"baru pertama kali belanja online hp, hasilnya ga nyesel & puas benget beli di Samsung Officiall Store. pengiriman cepat, packing mantap & diskon gede. makasih Sam... ",bintang 5
"ga dapat soft case seperti yg lain , batre boros",bintang 2
"barang berfungsi dengan baik dan segel..
hanya saja pelayanan dari official store ini sangat lambat dan penjelasannya tidak detail..pelayanan sangat tidak bagus......nama... ",bintang 2
Barang sampai dengan selamat,bintang 5
Pengiriman via J&T lama sekali,bintang 5
bagus belum coba semua fitur tapi filmnya sudah kerasa,bintang 5
Barang diterima dlm kondisi tersegel dengan baik,bintang 5
"amaze dengan fitur AI nya. ditambah seamless banget buat geser dari S22 HP baru pakai fitur Smart Switch. jadi semua settingan, profile, aplikasi dan file langsung sesuai... ",bintang 5
"Barang sudah diterima sesuai pesanan, packing aman pake kardus dan bubble wrap, kondisi msh segel dan garansi resmi",bintang 5
"Barang di terima dengan kondisi baik dan di packing dengan aman, dapet potongan harga sampe 1jutaan di promo 10.10",bintang 5
Barang masih disegel waktu sampai ada garansi resminya Berfungsi dengan paik! Kualitas barang original pasti top.😍😍,bintang 5
"Barang original, sesuai deskripsi, untuk bonus e-sim nya juga dapat diaktivasi dengan baik, agak lama dipengiriman tapi sudah dijelaskan karena antrean
kalau belum pakai... ",bintang 5
"Barang sampai dengan kondisi aman, semua spek sesuai. Semoga awet terutama pada layar amolednya.",bintang 5
"warnanya lucuuu , fitur ai melimpah jaminan update OS sampe 7 thn wow, sangat worth it untuk di beliii😍",bintang 5
"Overall features are Best
Very recommended",bintang 5
"Mantap bagus barangnya sesuai, packingnya jugarwpih dan penjual responsif",bintang 5
"mantap, recommended seller. seller terpercaya",bintang 5
"Samsung S24 FE 8/256 , impresi pertama Device nya smooth,kamera nya bagus di malem hari keadaan lowlight (terlampir),material body nya bagus karena udah gorilla glass vic... ",bintang 5
"Mantap, sesuai ekspetasi",bintang 5
"meski mepet waktunya dgn waktu pembatalan, barang oke, wrapping oke dan barang sesuai dengan pesanan. semoga awet. tks",bintang 5
"terimakasih kasih, barang oke, tanpa kendala dan pengiriman cepat",bintang 5
"saran aja untuk sekelas samsung, jika ad kendala sabtu minggu di respon jangan tunggu senin",bintang 5
"barang masih di segel dan rapi, kemudian pengiriman aman dan cepat serta barang terjamin. Terima kasih untuk kakaknya🙏",bintang 5
"Untuk barangnya 1000% sangat worth it, tidak ada masalah dan sesuai deskrispi. pengiriman juga cepat, pihak ekspedisi tidak ada masalah. Cuma reminder ulang itu CS yg seb... ",bintang 5
Hp sudah sampai lebih cepat dari waktu PO. Tentunya masih segel dan bonus silicone case asli. mantap.,bintang 5
"Barang sesuai, pengiriman cepat",bintang 5
Barang sudah diterima. Sesuai pesanan. Terima kasih.,bintang 5
"sesuai order, segel aman mulus no minus, bismillah berkah awet😁",bintang 5
"barang sampai cepat, packing oke sudah dicoba keren banget semuanyaa",bintang 5
"mantul, kerenn bgt barangnya, pengiriman cpt bgt, melebihi ekspektasi bgt, estimasi kirim tgl 12, gtaunya kelar PO langsung kirim, pake YES, bsok nya sung smpe, packingny... ",bintang 5
"pengiriman cepat, barang sesuai permintaan",bintang 5
Mantapp lahh.. bisa punya hp flagship harga terjangkau.. fitur2 nya baguss...,bintang 5
"Desain Premium: Tahan lama dan nyaman digunakan.

Layar AMOLED: Cerah dan tajam.

Performa Kuat: Cepat untuk multitasking dan gaming.

Kamera Baik: Pengambilan gambar mem... ",bintang 5
"barang sesuai, pengiriman aman dan cepat",bintang 5
Barang sesuai dan pengiriman super cepat 👍,bintang 5
"Toko resmi, barang mantap. lebih murah dr toko",bintang 5
"PROMO TIPU2.
Ikut PO Galaxy Fold 6, dijanjikan e-voucher up to 2,5 juta. Dijanjikan voucher akan diterima pertengahan agustus, ternyata molor sampai 9 September. Ketika v... ",bintang 1
"barang sudsh sampai dengan aman, sehari setelah pembayaran.",bintang 5
Bagus,bintang 5
"barang mendarat dengan selamat dan saya pikir ini original karena seluruh fitur Samsung aktif, kecuali imei, sedang Saya check dulu untuk Samsung care, sisanya mantap",bintang 5
"voucher cashback nya tipu tipu, Samsung gaya bisnisnya sekarang bikin malu",bintang 1
"Beli z fold 6 katanya dapat e-voucher 2,5 juta, tapi ini uda 3 minggu ga keluar juga. Dan telp ke samsung nya langsung katanya tokopedia di luar mereka, padahal ini samsu... ",bintang 2
"Barang Ori, Masih segel, mantap deh pokoknya..",bintang 5
Recommended. Respon yg baik dari seller dan informatif.,bintang 5
"Official Store Samsung TOP banget deh, barang preorder sampai lebih cepet dari tanggal yg di janjiin. Packing nya rapi dan safety banget, sampe mau unboxing aja susah ban... ",bintang 5
"Barang datang dengan kemasan baik,barang masih tersegel dan kondisi baik",bintang 5
pengiriman cepat. semoga awet.,bintang 5
pengiriman cepat dan amanah barang sesui pesanan,bintang 5
ngga nyangka pengiriman secepat itu. PO untuk dikirim akhir agustus. Ternyata baru seminggu pesan udah langsung dikirim. Mantap!,bintang 5
"bagus sih, dpt bonus buds fe, e-sim dan samsung care 2 thn",bintang 5
"E-Voucher dari Pre Order Bohong BESAR
Udah mau 2 bulan, masih gak ada kabar...",bintang 5
"pengiriman lebih cepat dari estimasi PO, Samsung sangat mengerti kebutuhan pengguna mantabb! untuk kualitas hp ga perlu diragukan lagi, ini hp lipet terbaik saat ini di I... ",bintang 5
"Barang sudah sampai, pengiriman cepat dan aman, packing rapi, plus bonus nya mantab. Tukar tambah dgn Fold 5. Dari segi design sy lbh suka Fold 6. Sudah dipakai seharian,... ",bintang 5
"Barang diterima lebih cepat dari jadwal pengiriman PO. Kondisi barang bagus, sesuai deskripsi..
#GalaxyZFold6review
@ebs135",bintang 5
barang sdh sampai dngn packing sangat aman dan bergaransi resmi,bintang 5
"Alhamdulillah sampai lebih awal, mantap pokoknya, dapat bonus pula, terima kasih Samsung",bintang 5
yeayyy barangnyaa lebih cpt dari tgl pengiriman. suka bgt..,bintang 5
pengiriman cepat sekali.. akhirnya sampai juga 😍😍,bintang 5
Barangnya cepat sampai dan doterima dengan baik,bintang 5
"the best, bring new experience of using a ""smart"" phone",bintang 5
Mantab cepat sekali datang kondisi gress,bintang 5
The bestttt,bintang 5
"official store yg sangat jelek respon serta pelayanannya, tidak komunikatif dan lambat dalam merespon,",bintang 3
so cool.. sesuai ekspetasi 👍👍👍,bintang 5
"Barang masih segel, sesuai banget warna silver nya adem dilihat. Semoga cocok pake hp flip.",bintang 5
"Terima kasih, pesanan sudah diterima dalam keadaan baik, keren banget Galaxy Z Flip 6, fiturnya canggih dan sangat stylist, cocok dibawa hangout bareng temen-temen, sanga... ",bintang 5
Barang pasti original. Packing aman. Dapat bonus casing original Samsung Olympic Paris 2024,bintang 5
Mantul,bintang 5
barang masih segel..packing baik...dapat bonus casing...pengiriman cepat,bintang 5
barang bagus sesuai pesanan,bintang 5
"barang berfungsi dengan baik,segel aman,fiturnya kece,the best lah samsung,gak pernah nyesel beli samsubg",bintang 5
barang sampai masih tersegel. garansi 1 thn bisa di klaim. e sim bisa diklaim. waktu PO juga dapat potongan harga. sisa nunggu voucher pws nya yang belum. admin bilang nu... ,bintang 4
"barang masih disegel dan fungsi normal
semoga awet
Aamiin",bintang 5
bagus cuma kalau bisa deskripsi penjelasan di toko tolong jangan menggunakan bahasa yang ambigu. org bisa salah paham,bintang 5
barang original. packing sangat rapih sayang prmgitiman oleh kurir lambat memang sesuai waktu perkitaan didetik2 terakhir baru sampai,bintang 4
"sesuai pesanan, lengkap dan aman, tepat waktu ga sampai 25hari PO nya",bintang 5
"masih disegel,  Brg nya baru dicoba kok panas ya, kartu garansi seperti apa ya",bintang 5
bagus dan ori,bintang 5
"barang sesuai, pengiriman ontime, respon penjual cukup",bintang 5
"barang sampai dengan selamat, minus tidak bisa claim voucer esim telkomsel, katanya tunggu 1 minggu setelah barang datang",bintang 5
Barangnya original 👍 Kemasan disegel Ada garansi resmi Spesifikasi sesuai Kelengkapan sesuai,bintang 5
Barangnya original 👍 Kemasan disegel Kelengkapan sesuai Berfungsi dengan baik Warna sesuai pesanan Packaging aman 🙏 Packaging rapi Respon penjualnya top,bintang 5
"barang nya sih bagus,packing nya rapi cuman esim nya gak ada di box.",bintang 5
"baru digunakan 3 bulan, hp ini sudah rusak di cas 3 jam masih 8% bagaimana ini kok barang rusak dikirim ya. padahal hp ini jarang saya gunakan jarang jatuh kok bisa tiba... ",bintang 1
hp berfungsi baik... toko rekomen,bintang 5
"barang utuh dan tersegel saat sampai, pasti ori, aman dan mulus sesuai deskripsi, packing standar aman dan rapih, pengiriman cepat",bintang 5
"Alhamdulilah sudah lama baru review. Terimakasih untuk Toko dan Kurirnya.. Cepat sampai, barang berkualitas dan sesuai deskripsi. Sukses ya..",bintang 5
Pengeriman sesuai dan barang dikemas dengan baik,bintang 5
"bagus banget hpnya, pengiriman aja rada lama cmn masih good",bintang 4
berfungsi normal,bintang 5
"barang sampai dengan selamat tanpa rusak sedikit pun, toko amanah kurir amanah, sukses terussss",bintang 5
Manteb broooo,bintang 5
"sesuai pesanan,, barang original,, pengiriman cepat sampai",bintang 5
"packingnya aman, henponenya  juga bagus",bintang 5
Alhamdulillah... Samsung M15 5G telah diterima. HP nya bagus. Dapat harga promo. Puas sekali.,bintang 5
Barang masih disegel dgn baik dan dipacking sangat tebal serta original dari official store Samsung nya...Semoga awet...Tks ya Ka,bintang 5
👍👍👍👍👍👍👍🙏🙏🙏🙏🙏🙏🙏 barangnya sampai dengan selamat,bintang 5
"camera blkang jenih kali
camera dpn B aja
sisanya Normal Normal aja,gak ada yg special
khusus game ada foldernya sndiri,jadi gak kecanduan main game (mungkin)",bintang 4
"barang masih bersegel dan rapi, pengiriman cepat dan aman. setelah pemakaian 4 harian lumayan enak.",bintang 5
"mantap, real pict. free perdana axis 125 GB",bintang 5
Barang masih disegel waktu sampai dan pastinya original. Berfungsi dengan baik. Desain masih infinity u dengan bezel yg tebal tp gpp. Agak sedikit berat dibanding hp midr... ,bintang 5
"Alhamdulillah sudah sampai dengan selamat. semoga awet, berkah dan manfaat.",bintang 5
Barang bagus utuh sesuai harapan dan semoga awet mantap untuk samsung,bintang 5
iyah barang lumayan bagus amanah tokonya,bintang 4
"Kalau ga bisa beli offline, untuk barang elektronik pilihannya pasti wajib ke official online storenya. Barang diterima sesuai estimasi waktu pengiriman, segel, dan tentu... ",bintang 5
"ORI 100%
Mantap SAMSUNG
ASLI
ORI 100%
Mantap SAMSUNG
ASLI
ORI 100%
Mantap SAMSUNG
ASLI
ORI 100%
Mantap SAMSUNG
ASLI

TERIMA KASIH BANYAK SAMSUNG",bintang 5
