Review,Rating
"Barang sudah diterima sesuai pesanan...masih segel, semoga awet...pengemasan dan pengiriman cepat, terimakasih, sukses selalu",bintang 5
"barang sampai dengan kondisi aman, sesuai pesanan juga mulai dari warna, ram, dll. yg disayangkan hanya di pengirimannya aja.",bintang 4
"produk besegel rapi dan dari xiaomi official resmi, semoga awet, utk gratis ongkirnya jangan pakai sigesit atau sicepat lagi, krn menreka udah jd bekicot",bintang 5
"alhamdulillah dugi oge berkah selamat
mugiyaaaa lancar di anggota sarng awet
sing ngajurung di anggota kanggo usaha
amiin",bintang 5
ini hp kok banyak sekali iklannya. jadi pusing sendiri. sudah beberapa fitur iklan di matikan kok masih muncul,bintang 5
barang original dan masih segel. gak nyesel beli di sini.,bintang 5
mantapp,bintang 5
barang sudah diterima dalam kondisi aman dan bagus.. sipp,bintang 5
"barang tersegel dan aman tanpa cacat. dikirim sesuai warna dan datang tepat waktu sesuai harapan.. 
 semua berfungsi dengan baik, semoga awet dan tidak ada kendala. 
 ter... ",bintang 5
cepat,bintang 5
barang berfungsi baik. packaging bagus,bintang 5
"full ori dan tidak di ragukan lagi, barang mendarat sesuai dengan harapan",bintang 5
emang barang Cocok sesuai pesanan 👌mantap pokoknya the best 🤤,bintang 5
emang barang Cocok sesuai pesanan 👌mantap pokoknya the best 🤤,bintang 5
barang ori mulus msh segel pkonya mntap yg mau beli gk ush ragu,bintang 5
barang ory ..msh keadaan segel,bintang 5
"Barang sampai masih ter-segel,.. 
Kartu garansi tidak ada,.. yg ada hanya invoice. 
HP normal..",bintang 4
"barang msh segel, ori, mantaplah",bintang 5
Mantap,bintang 5
"mantap ......... fast respond ........
Sabtu pesan Minggu udah sampai",bintang 5
"pengiriman cepat, packingan bagus barang juga sesuai dengan produk pesanan.",bintang 5
"Harga terjangkau, dapat diskon,p pengiriman super cepat, barang smp tujuan dengan selamat. thx seller, toped dan bapak kurir yg amanah",bintang 5
"mantap hape nya buat ngojek,sayang pengirimannya agak lama",bintang 5
"Pengiriman ok, barang ok, bagus mulus, tp proses di pick up nya, lammmaaaaaaaaa bgt, smp komplain dulu. Thanks Abang kurir",bintang 3
"barang masih tersegel sempurna, pengiriman cepat, original buatan Indonesia dan fiturnya sangat mantapp terutama quality bagus banget solid hapenya 🫰🫰🫰🫰",bintang 5
"barang masih segel, packingan nya lumayan, Alhamdulillah selamat sampai tujuan 😊",bintang 5
barang bagus original masih segel mulus tidak mengecewakan👍,bintang 4
barang original...  garansi resmi,bintang 5
"walaupun pengiriman agk terlambat, tp gk apa apa lah yg penting 
barang masih segel sudah pasti ori Xiaomi,,",bintang 5
